CMTE_ID,CMTE_NM,TTL_DISBURSEMENTS,TOTAL_TRANS_AMT,TRANSACTION_COUNT,AVG_TRANSACTION_SIZE,EFFICIENCY_CLASS,PTY_GROUP
C00879361,COMMUNITY WORKS,0.0,0.0,0.0,0.0,INEFFICIENT,
C00879379,PENINSULA NEIGHBORS PAC,219946.44,329406.0,12.0,27450.5,EFFICIENT,DEM
C00879460,WHY DIDN'T YOU TESTIFY DONNIE?  CHICKENSHIT? COWARD?  PUSSY?  ALL OF THE ABOVE?,,0.0,0.0,0.0,INEFFICIENT,
C00879478,BLACK ACTION NOW,,0.0,0.0,0.0,INEFFICIENT,
C00879486,PROTECT AMERICAN DEMOCRACY PAC,,0.0,0.0,0.0,INEFFICIENT,
C00879494,OUR MOTHER THE SEA,,0.0,0.0,0.0,INEFFICIENT,
C00879510,AMERICA PAC,173734996.5,173734634.0,1186.0,146487.88701517705,EFFICIENT,BIPARTISAN
C00879643,BFD PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00879650,WOMEN UNITED FOR AMERICA,0.0,0.0,0.0,0.0,INEFFICIENT,
C00879676,AMERICAN FREEDOM COALITION PAC,18500.0,18500.0,1.0,18500.0,EFFICIENT,REP
C00879726,CONSERVATIVE LEADERSHIP ACTION INC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00879742,DONNIE YOUR CROWDS ARE AS TINY AS YOUR MINI MUSHROOM PENIS,,0.0,0.0,0.0,INEFFICIENT,
C00879783,INDEPENDENT,,0.0,0.0,0.0,INEFFICIENT,
C00852855,THE WAY FORWARD,,0.0,0.0,0.0,INEFFICIENT,
C00852954,VOLUNTEER FIRE FIGHTERS OF AMERICA,,0.0,0.0,0.0,INEFFICIENT,
C00852996,"BETTER AMERICA UNDER CONSERVATIVES PAC, INC.",42050.0,42050.0,4.0,10512.5,EFFICIENT,REP
C00853028,GOVERNMENT RESPONSIBILITY AND INTEGRITY FOR TENNESSEE (GRIT PAC),0.0,0.0,0.0,0.0,INEFFICIENT,
C00853119,VICTORY INCLUDES ACCOUNTABILITY BELIEVABILITY LEADERSHIP AND ELECTABILITY PAC (VIABLE PAC),65000.0,64995.0,16.0,4062.1875,MODERATE,DEM
C00853127,77 STRONG COMMITTEE,0.0,0.0,0.0,0.0,INEFFICIENT,
C00853275,SAVE OUR DREAM PAC,,0.0,0.0,0.0,INEFFICIENT,
C00853382,MICHIGAN'S KEY ELECTION PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00853390,SURGEONS FUTURE PAC,,0.0,0.0,0.0,INEFFICIENT,
C00853432,ONE LEVEL HIGHER,,0.0,0.0,0.0,INEFFICIENT,
C00853440,STOP AI,,0.0,0.0,0.0,INEFFICIENT,
C00853523,"VOTE PLANNED PARENTHOOD NORTHERN CALIFORNIA, A PROJECT OF PLANNED PARENTHOOD NORTHERN CA ACTION FUND",88309.38,129175.0,92.0,1404.0760869565217,MODERATE,BIPARTISAN
C00853556,HOME OWNERS AMERICA STAND UP,,0.0,0.0,0.0,INEFFICIENT,
C00853770,A STRONG INNOVATION ECONOMY REQUIRES STRONG IP PROTECTION,790960.91,790959.0,12.0,65913.25,EFFICIENT,REP
C00853861,"GLCF, INC.",21184890.58,21684884.0,53.0,409148.75471698114,EFFICIENT,BIPARTISAN
C00853879,FREEDOM-FOUNDATION,0.0,0.0,0.0,0.0,INEFFICIENT,
C00853911,CENTRAL FLORIDA SOLUTIONS,0.0,6500.0,2.0,3250.0,MODERATE,NON_PARTISAN
C00854042,DOWDMOCRACY,0.0,0.0,0.0,0.0,INEFFICIENT,
C00854059,ONE GIANT LEAP PAC,100000.0,175000.0,4.0,43750.0,EFFICIENT,DEM
C00854182,FORWARD MOTION PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00854190,FOUNDING PRINCIPLES,0.0,0.0,0.0,0.0,INEFFICIENT,
C00864348,INTEGRITY LEADERSHIP FUND,1098457.31,2622502.0,28.0,93660.78571428571,EFFICIENT,REP
C00864397,TAXPAYERS FOR DEMOCRACY PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00864413,SUNSHINEONEARTH.COM,,0.0,0.0,0.0,INEFFICIENT,
C00864421,MINNESOTA DEMOCRATIC ACTION PAC,8583.93,8583.0,2.0,4291.5,MODERATE,NON_PARTISAN
C00864561,THE ROAR PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00864587,NEW SOLUTIONS FOR SILICON VALLEY,0.0,0.0,0.0,0.0,INEFFICIENT,
C00864850,VIRGINIA ACTION PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00864926,AMERICA LEADS ACTION INC.,9635813.37,9635776.0,140.0,68826.97142857143,EFFICIENT,REP
C00865055,SECURE NYS PAC,1457640.5,1517640.0,12.0,126470.0,EFFICIENT,DEM
C00865105,TEXANS FOR CONSERVATIVE LEADERSHIP,0.0,0.0,0.0,0.0,INEFFICIENT,
C00865139,AMERICANS AGAINST CORRUPTION PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00865147,PROGRESSIVES FOR DEMOCRACY PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00865238,TAXPAYERS AGAINST WOKENESS,51656.37,51655.0,4.0,12913.75,EFFICIENT,REP
C00865246,FIGHTING FOR CALIFORNIANS,255663.47,456624.0,18.0,25368.0,EFFICIENT,DEM
C00865352,NEW LEADERS 2024,72330.82,83181.0,31.0,2683.2580645161293,MODERATE,BIPARTISAN
C00865360,HEARTLAND PEOPLE'S PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00865444,WINSENATE,311285589.2,624200704.0,622.0,1003538.1093247589,EFFICIENT,REP
C00865527,TRUE RED AMERICA,,0.0,0.0,0.0,INEFFICIENT,
C00879924,THE PAC OF RHS WTP,,0.0,0.0,0.0,INEFFICIENT,
C00879965,DRIVING FORCE ACTION,599900.0,599900.0,36.0,16663.88888888889,EFFICIENT,DEM
C00879973,DEMOCRACY 2025,1233000.0,1333000.0,6.0,222166.66666666666,EFFICIENT,DEM
C00880013,SUNSHINEONEARTH.COMI,0.0,0.0,0.0,0.0,INEFFICIENT,
C00880054,TRUE AMERICA,0.0,0.0,0.0,0.0,INEFFICIENT,
C00880187,FAIR WISCONSIN FEDERAL PAC,190000.81,189996.0,7.0,27142.285714285714,EFFICIENT,BIPARTISAN
C00880328,TRI-COUNTY SPAC,,0.0,0.0,0.0,INEFFICIENT,
C00880385,SHIFTY PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00880393,AMERICANS FOR ALTERNATIVES,,0.0,0.0,0.0,INEFFICIENT,
C00880401,RETIRED DEMS 2024,0.0,800000.0,4.0,200000.0,EFFICIENT,NON_PARTISAN
C00880427,FAIR TAX ACTION FUND,0.0,0.0,0.0,0.0,INEFFICIENT,
C00880450,OHIO RIVER PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00880468,THE MIDWEST CENTER FOR LAW AND ORDER PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00880476,UPSTATE PATRIOTS PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00880484,SAVE OUR NATION,0.0,0.0,0.0,0.0,INEFFICIENT,
C00880526,ABRAHAM PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00880559,WORKING CLASS ACTION FUND,12400.0,12400.0,2.0,6200.0,MODERATE,REP
