CMTE_ID,CMTE_NM,TTL_RECEIPTS,TTL_DISBURSEMENTS,MEGADONOR_RECEIPTS,MEGADONOR_DEPENDENCY,DEPENDENCY_CLASS,PTY_GROUP
C00507707,RESTORING AMERICA'S TRADITIONS PAC (RATPAC),,,,0.0,BROAD_BASED,
C00508200,1911 UNITED,7250.0,0.0,,0.0,BROAD_BASED,
C00508440,HUMAN RIGHTS CAMPAIGN EQUALITY VOTES,2070138.25,1437320.66,1120850.0,0.7784702297732133,MEGADONOR_DEPENDENT,DEM
C00508556,CENTRIST INDEPENDENT VOTER POLITICAL ACTION COMMITTEE,1126.91,0.0,,0.0,BROAD_BASED,
C00508689,SMALLBIZADVOCATES.ORG,0.0,0.0,,0.0,BROAD_BASED,
C00508952,A SUPERPAC,0.0,0.0,,0.0,BROAD_BASED,
C00509463,PROTECTING OUR VOTE PAC,205255.0,36204.0,0.0,0.0,BROAD_BASED,DEM
C00509802,HISPANIC VOTE POLITICAL ACTION COMMITTEE,0.0,0.0,,0.0,BROAD_BASED,
C00509893,NATIONAL RIGHT TO LIFE VICTORY FUND,600258.06,286596.43,145000.0,0.5060128282976333,MEGADONOR_DEPENDENT,REP
C00510107,TAXPAYER NETWORK PAC,0.0,0.0,,0.0,BROAD_BASED,
C00510701,JOBS OPPORTUNITY AND FREEDOM POLITICAL ACTION COMMITTEE - JOFPAC,0.0,0.0,,0.0,BROAD_BASED,
C00510727,CONSERVATIVE RENEWAL POLITICAL ACTION COMMITTEE (PAC),0.0,0.0,,0.0,BROAD_BASED,
C00511915,AMERICAN WORKING FAMILIES,45.0,0.0,,0.0,BROAD_BASED,NON_PARTISAN
C00512293,THE VOICES OF THE AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES,1736500.0,0.0,,0.0,BROAD_BASED,NON_PARTISAN
C00512335,MIDDLE RESOLUTION FEDERAL PAC INC,0.0,0.0,,0.0,BROAD_BASED,
C00512871,AMERICAN VALUES COALITION,210.0,0.0,,0.0,BROAD_BASED,
C00513366,STRENGTH AND LIBERTY PAC,0.0,0.0,,0.0,BROAD_BASED,
